secs, nsecs, belief, value
124,304000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
124,543000000,,KnowsTargetLocationTrue
124,860000000,,KnowsTargetLocationTrue
125,142000000,,CameraUpFalse
125,312000000,,ObstacleOnTheWayMissing
125,341000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
125,643000000,,CameraDownTrue
125,898000000,,ObstacleOnTheWayFalse
126,295000000,,ObstacleOnTheWayFalse
126,645000000,,ObstacleOnTheWayFalse
126,705000000,,ObstacleOnTheWayTrue
126,718000000,,Obstacle_590.713021796824,0.0774590380075,-0.0361924672389,0.718129431231
126,920000000,,Obstacle_590.713021796824,0.0774590380075,-0.0361924672389,0.718129431231
127,45000000,,ObstacleOnTheWayTrue
127,194000000,,Obstacle_590.713021796824,0.0774590380075,-0.0361924672389,0.718129431231
127,357000000,,ObstacleOnTheWayTrue
127,504000000,,Obstacle_590.713021796824,0.0774590380075,-0.0361924672389,0.718129431231
127,719000000,,ObstacleOnTheWayTrue
127,905000000,,ObstacleOnTheWayFalse
128,137000000,,ObstacleOnTheWayTrue
128,148000000,,Obstacle_161.37794537521,0.0771127522588,-0.037511068294,1.38061106539
128,488000000,,ObstacleOnTheWayTrue
128,513000000,,Obstacle_521.31494683315,0.0741284541995,-0.0333971976706,1.31745799726
128,659000000,,Obstacle_161.37794537521,0.0771127522588,-0.037511068294,1.38061106539
128,820000000,,ObstacleOnTheWayTrue
128,931000000,,Obstacle_521.31494683315,0.0741284541995,-0.0333971976706,1.31745799726
129,53000000,,Obstacle_161.37794537521,0.0771127522588,-0.037511068294,1.38061106539
129,165000000,,ObstacleOnTheWayTrue
129,287000000,,ObstacleOnTheWayFalse
129,436000000,,KnowsTargetLocationMissing
129,447000000,,KnowsTargetLocationUpdating
129,612000000,,ObstacleOnTheWayFalse
129,666000000,,ObstacleOnTheWayTrue
129,679000000,,Obstacle_161.11666838741,0.0740872536136,-0.0341112371036,1.11964315078
129,937000000,,Obstacle_161.11666838741,0.0740872536136,-0.0341112371036,1.11964315078
130,78000000,,ObstacleOnTheWayTrue
130,171000000,,Obstacle_161.11666838741,0.0740872536136,-0.0341112371036,1.11964315078
130,369000000,,ObstacleOnTheWayTrue
130,449000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
130,479000000,,Obstacle_161.11666838741,0.0740872536136,-0.0341112371036,1.11964315078
130,719000000,,ObstacleOnTheWayTrue
130,874000000,,ObstacleOnTheWayFalse
131,199000000,,ObstacleOnTheWayFalse
131,306000000,,CameraDownFalse
131,456000000,,ObstacleOnTheWayTrue
131,456000000,,Obstacle_160.916183161871,0.0763364236766,-0.0360750704822,0.920065348976
131,553000000,,Obstacle_160.916183161871,0.0763364236766,-0.0360750704822,0.920065348976
131,724000000,,Obstacle_160.916183161871,0.0763364236766,-0.0360750704822,0.920065348976
131,806000000,,CameraUpTrue
131,932000000,,KnowsTargetLocationFalse
131,996000000,,ObstacleOnTheWayTrue
132,7000000,,Obstacle_160.916183161871,0.0763364236766,-0.0360750704822,0.920065348976
132,223000000,,KnowsTargetLocationTrue
132,553000000,,KnowsTargetLocationTrue
132,911000000,,KnowsTargetLocationTrue
133,220000000,,KnowsTargetLocationTrue
133,488000000,,KnowsTargetLocationTrue
133,524000000,,ObstacleOnTheWayMissing
133,541000000,,ObstacleOnTheWayUpdating
133,857000000,,KnowsTargetLocationTrue
134,193000000,,KnowsTargetLocationTrue
134,517000000,,KnowsTargetLocationTrue
134,553000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
134,733000000,,DrivingFalse
134,733000000,,ReachedToTargetTrue
134,733000000,,TargetReached1,1.49
135,363000000,,CameraUpFalse
137,422000000,,ReachedToTargetFalse
137,424000000,,NumberOfTargets2
137,424000000,,ReachedUpdatedTrue
140,354000000,,ReachedToTargetFalse
140,354000000,,ReachedUpdatedFalse
140,358000000,,CurrentTarget2
140,358000000,,TargetChosenTrue
143,471000000,,TargetChosenFalse
143,472000000,,SearchingTargetTrue
144,656000000,,KnowsTargetLocationMissing
144,663000000,,KnowsTargetLocationUpdating
145,678000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
146,450000000,,CameraDownFalse
146,950000000,,CameraUpTrue
147,732000000,,Target_FoundTrue
147,732000000,,SearchingTargetFalse
151,877000000,,Target_FoundFalse
,,
Down time: , 108.128
Up time: , 22.708
